Id,Lang,Title,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
92,it,Particolare delle mani,"Sul polso sinistro è visibile una colatura di sangue fuoriuscito da una ferita provocata dalla penetrazione di un chiodo.
A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",321,54,2,40.67,177.41,27.84
93,it,Operazioni di conservazione anni 2000,Operazioni di conservazione anni 2000.,29,5,1,91.0,199.31,18.0
94,it,La radiodatazione al C14,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,174.53,29.33
95,it,Elaborazione delle immagini,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,193.35,22.58
96,it,Lo studio delle varie tracce presenti sulla Sìndone,"In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.
 Alcuni segni sono dovuti a bruciature, cera e acqua.
Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.
Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.
Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",337,65,5,60.23,191.59,18.74
97,it,Ricostruzione di un telaio dell'epoca,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,199.18,26.0
98,it,Ricostruzione del Sepolcro,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,178.68,22.71
99,it,Beato Sebastiano Valfrè,Beato Sebastiano Valfrè.,21,3,1,119.0,201.27,14.53
100,it,San Francesco di Sales,San Francesco di Sales.,19,4,1,116.5,200.86,11.6
101,it,Papa Pio VII,Papa Pio Ottavo.,13,3,1,145.67,201.7,14.53
102,it,Le stoffe,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.
Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",388,69,2,41.46,169.99,32.35
103,it,La riproduzione 1:1,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,184.47,22.0
